slug,title,type,indexable,in_sitemap,in_listing_ui,claimed_count_bucket,hero,created_at,destination_id
pecos-river-new-mexico,Pecos River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:49.56009+00,dest-new-mexico
penns-creek,Penns Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-pennsylvania
pere-marquette-river,Pere Marquette River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-michigan
pigeon-river-michigan,Pigeon River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:49:57.463349+00,dest-michigan
pine-river-michigan,Pine River (Manistee tributary),river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:47:52.835239+00,dest-michigan
ponoi-river,Ponoi River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-kola-peninsula
price-river-scofield,Price River (below Scofield Dam),river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:04.023124+00,dest-utah
provo-river,Provo River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 20:34:20.738226+00,dest-utah
rapid-river-maine,Rapid River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:50:10.401802+00,dest-maine
rapidan-river,Rapidan River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:39:32.377416+00,dest-virginia
rifle-river,Rifle River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:57:56.877714+00,dest-michigan
rio-chama-new-mexico,Rio Chama,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:49.56009+00,dest-new-mexico
rio-grande-colorado,Rio Grande (Colorado),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
rio-grande-new-mexico,Rio Grande — Taos Box,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:49.56009+00,dest-new-mexico
river-gibbon,Gibbon River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:27:48.285087+00,dest-wyoming
river-moy,River Moy,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-ireland
roaring-fork-river,Roaring Fork River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
rock-creek,Rock Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-montana
rogue-river,Rogue River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-oregon
ruby-river-montana,Ruby River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:23:04.416863+00,dest-montana
russian-river-alaska,Russian River (Alaska),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:22:59.703715+00,dest-alaska
salmon-river-idaho,Salmon River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:23.305328+00,dest-idaho
salt-river-wyoming,Salt River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:33:49.033777+00,dest-wyoming
san-juan-river,San Juan River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:24:20.993519+00,dest-new-mexico
sand-creek-wyoming,Sand Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:33:48.894047+00,dest-wyoming
selway-river-idaho,Selway River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:24.801328+00,dest-idaho
shoshone-river,Shoshone River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:52:15.670254+00,dest-wyoming
silver-creek,Silver Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-idaho
skagit-river,Skagit River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:31:28.095053+00,dest-washington
slough-creek-yellowstone,Slough Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:21.090976+00,dest-wyoming
smith-morehouse-creek,Smith and Morehouse Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-12 06:06:54.049826+00,dest-utah
smith-river-montana,Smith River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:01:31.673898+00,dest-montana
snake-river-wyoming,Snake River (Wyoming),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-wyoming
south-fork-boise,South Fork of the Boise River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-idaho
south-fork-snake-river-idaho,South Fork Snake River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:24:22.509443+00,dest-idaho
south-holston-river,South Holston River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:37:00.235348+00,dest-tennessee
south-platte-river,South Platte River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-colorado
spokane-river,Spokane River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:34:00.791422+00,dest-washington
spring-creek-missouri,Spring Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:38:00.046326+00,dest-missouri
spring-river-arkansas,Spring River (Arkansas),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:21:39.384622+00,dest-arkansas
st-joe-river-idaho,St. Joe River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:26.420952+00,dest-idaho
straight-canyon-creek,Straight Canyon Creek (Cottonwood Creek),river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:04.317915+00,dest-utah
strawberry-river-utah,Strawberry River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:49.56009+00,dest-utah
swift-river-massachusetts,Swift River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:50:45.55544+00,dest-massachusetts
taylor-river,Taylor River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:12:09.866918+00,dest-colorado
teton-river-idaho,Teton River (Idaho),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:24:27.037469+00,dest-idaho
toccoa-river-ga,Toccoa River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:42:51.190889+00,dest-georgia
truckee-river,Truckee River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:53.127227+00,dest-california
truckee-river-nevada,Truckee River (Nevada),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:24:20.187757+00,dest-nevada
tuckasegee-river,Tuckasegee River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:38:55.862855+00,dest-north-carolina
two-hearted-river,Two-Hearted River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:19:07.177704+00,dest-michigan
upper-sacramento-river,Upper Sacramento River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:07.701171+00,dest-california
watauga-river-tennessee,Watauga River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:37:45.590349+00,dest-tennessee
weber-river-utah,Weber River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:49.56009+00,dest-utah
west-branch-farmington-river,West Branch Farmington River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:50:11.216772+00,dest-connecticut
west-branch-penobscot,West Branch Penobscot River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:49:36.080546+00,dest-maine
west-fork-duchesne-river,West Fork Duchesne River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:03.439009+00,dest-utah
white-river-arizona,White River — White Mountains,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:49.56009+00,dest-arizona
white-river-arkansas,White River (Arkansas),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-arkansas
williamson-river-oregon,Williamson River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:56.375849+00,dest-oregon
willowemoc-creek,Willowemoc Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:42:07.915942+00,dest-new-york
wind-river-wyoming,Wind River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:20.344083+00,dest-wyoming
yakima-river,Yakima River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:30:41.634659+00,dest-washington
yampa-river,Yampa River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
yellow-breeches-creek,Yellow Breeches Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:45:42.631086+00,dest-pennsylvania
yellowstone-river,Yellowstone River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-montana
